Evidence ID,Citation Label,Paper Title,Author Names,Publication Year,Publication Type,Publication Title,Pub Family,DOI,Paper Link,Study Type,Tools Evaluated,Research Questions Addressed,Evaluation Metrics,Key Findings,Main Benefits Reported,venue_tier,overall_score2
E011,Nathalia Nascimento Everton Guimarães Sai Sanjna Chintakunta Santhosh Anitha Boominathan (2024) [E011],"LLM4DS: Evaluating Large Language Models for Data Science Code
  Generation","Nathalia Nascimento
Everton Guimarães
Sai Sanjna Chintakunta
Santhosh Anitha Boominathan",2024.0,Journal Article,,arXiv,10.48550/arxiv.2411.11908,https://scispace.com/paper/llm4ds-evaluating-large-language-models-for-data-science-3m6x6s13dvsq,Controlled Experiment,"Microsoft Copilot (GPT-4 Turbo), ChatGPT (o1-preview), Claude (3.5 Sonnet), Perplexity Labs (Llama-3.1-70b-instruct)","RQ2, RQ3, RQ6","Success rate, Execution times","• All models exceeded a 50% baseline success rate.
• Only ChatGPT and Claude achieved success rates significantly above 60%, but none reached 70%.
• ChatGPT showed consistent performance; Claude's success fluctuated with task complexity.","Enhancing tasks such as data manipulation, statistical analysis, and visualization",Preprint,119.1
E012,Vincenzo Corso Leonardo Mariani Daniela Micucci Oliviero Riganelli (2024) [E012],Generating Java Methods: An Empirical Assessment of Four AI-Based Code Assistants,"Vincenzo Corso
Leonardo Mariani
Daniela Micucci
Oliviero Riganelli",2024.0,Journal Article,,ACM,10.1145/3643916.3644402,https://scispace.com/paper/generating-java-methods-an-empirical-assessment-of-four-ai-v7736h8z5f,Observational Study,"GitHub Copilot, Tabnine, ChatGPT, Google Bard","RQ2, RQ6","Accuracy, Effectiveness","• Copilot is often more accurate than other techniques.
• None of the assistants completely subsumes the others.
• Effectiveness dramatically decreases with dependencies outside single classes.","Facilitate code development, Speed up code development",Unclear,119.1
E013,Markus Borg Dave Hewett Nadim Hagatulah N. Couderc Emma Söderberg Donald Graham Uttam Kini Dave Farley (2025) [E013],Echoes of AI: Investigating the Downstream Effects of AI Assistants on Software Maintainability,"Markus Borg
Dave Hewett
Nadim Hagatulah
N. Couderc
Emma Söderberg
Donald Graham
Uttam Kini
Dave Farley",2025.0,Journal Article,arXiv.org,arXiv,10.48550/arxiv.2507.00788,https://scispace.com/paper/echoes-of-ai-investigating-the-downstream-effects-of-ai-xa70a96tco9c,Controlled Experiment,"GitHub Copilot, Cursor","RQ1, RQ2, RQ5, RQ6, RQ7","Speedup in subsequent evolution, CodeHealth, Task completion time, Mean speedup","• AI-assisted development led to a 30.7% median decrease in task completion time.
• It resulted in a modest speedup in subsequent evolution and slightly higher average CodeHealth.
• No warning signs of degraded code-level maintainability were observed.","Modest speedup in subsequent evolution, slightly higher average CodeHealth, 30.7% median decrease in task completion time, 55.9% mean speedup for habitual AI users, effectively accelerate development, no warning signs of degraded code-level maintainability",Preprint,118.8
E014,Nimisha Roy Oleksandr Horielko Olufisayo Omojokun (2025) [E014],Benchmarking of Generative AI Tools in Software Engineering Education: Formative Insights for Curriculum Integration,"Nimisha Roy
Oleksandr Horielko
Olufisayo Omojokun",2025.0,Journal Article,,ACM,10.1145/3702653.3744328,https://scispace.com/paper/benchmarking-of-generative-ai-tools-in-software-engineering-o5m4v6f3wj7x,Benchmarking,"Lucidchart, Mermaid.js, UIzard, GitHub Copilot, TabNine, Codeium, Supermaven, GPT-4, Claude 3.5 Sonnet, Testim, Mabl, Applitools, Replit, Postman, Visily, Gemini, Eraser.io","RQ5, RQ6","diagram accuracy, completeness, user effort, IDE integration, pattern-based code generation quality, code-completion effectiveness, refactoring robustness, UI/UX scaffolding, error-detection accuracy, hallucination rates, clarity of explanatory feedback, test-case relevance, defect-detection coverage, prompt engineering complexity","• Gen-AI tools show speed-fidelity trade-offs across SE phases.
• Code-completion accelerates boilerplate but needs manual oversight.
• LLM debuggers offer context-sensitive fixes but have hallucination rates.
• Human effort, averaging 2.4 prompts for diagrams and 1.5 for bug fixes, guides AI.","Automating tasks, Streamline code generation, Architectural modeling, Debugging, Test-case creation, Accelerate boilerplate generation, Produce precise UML models with minimal effort, Deliver context-sensitive fixes",Unclear,118.5
E015,Md. Istiak Hossain Shihab Christopher Hundhausen Ahsun Tariq Summit Haque Brian Mulanda (2025) [E015],"The Effects of GitHub Copilot on Computing Students' Programming Effectiveness, Efficiency, and Processes in Brownfield Programming Tasks","Md. Istiak Hossain Shihab
Christopher Hundhausen
Ahsun Tariq
Summit Haque
Brian Mulanda",2025.0,Journal Article,,ACM,10.1145/3702652.3744219,https://scispace.com/paper/the-effects-of-github-copilot-on-computing-students-fp9aavv8117i,"Controlled Experiment, Mixed Methods",GitHub Copilot,"RQ1, RQ4, RQ5, RQ6","Task completion time, Solution progress, Time manually writing code, Time conducting web searches","• Students completed tasks 34.9% faster and made 50.0% more solution progress with Copilot.
• Students spent 10.6% less time writing code and 11.6% less time web searching with Copilot.
• Students expressed concerns about not understanding Copilot suggestions.","Tasks completed 34.9% faster, 50.0% more solution progress, 10.6% less time manually writing code, 11.6% less time conducting web searches",Unclear,117.1
E016,Christian Rahe Walid Maalej (2025) [E016],How Do Programming Students Use Generative AI?,"Christian Rahe
Walid Maalej",2025.0,Journal Article,,ACM,10.1145/3715762,https://scispace.com/paper/how-do-programming-students-use-generative-ai-e2x4ifvoassy,Exploratory Experiment,ChatGPT,"RQ1, RQ5, RQ6",Not specified,"• Students often prompted Generative AI to generate full solutions, rather than for comprehension.
• Students got trapped in a cycle of submitting wrong generated code and asking the bot for fixes.
• Concerns about decreased programmer agency and productivity with Generative AI are justified.","Help understand learning material, Assist with exercises",Unclear,116.8
E017,Xuan He Dong Li Hao Wen Yueheng Zhu Chao Liu Meng Yan Hongyu Zhang (2025) [E017],CoSEFA: An LLM-Based Programming Assistant for Secure Code Generation via Supervised Co-Decoding,"Xuan He
Dong Li
Hao Wen
Yueheng Zhu
Chao Liu
Meng Yan
Hongyu Zhang",2025.0,Journal Article,,ACM,10.1145/3696630.3728609,https://scispace.com/paper/cosefa-an-llm-based-programming-assistant-for-secure-code-7kw8r2bau8if,Controlled Experiment,"CoSEFA, Copilot","RQ2, RQ4, RQ5, RQ6","Generation security, Functionality correctness, Usefulness for security-related programming tasks","• CoSEFA improved generation security by 9.34% and functionality correctness by 11.2%.
• Experienced developers rated CoSEFA more useful than Copilot for security tasks.
• CoSEFA addresses secure code generation and three types of code generation errors.","Improved generation security by 9.34%, improved functionality correctness by 11.2%, rated more useful than Copilot for security-related programming tasks",Unclear,116.0
E018,Wardah Saleem Selma Nazlıoğlu (2025) [E018],Prompting for Security: A Cross-Model Evaluation of Code Generation in LLMs,"Wardah Saleem
Selma Nazlıoğlu",2025.0,Journal Article,,IEEE,10.1109/ubmk67458.2025.11207030,https://scispace.com/paper/prompting-for-security-a-cross-model-evaluation-of-code-n1c58ueptjt7,Controlled Experiment,"GPT-4, Gemini, DeepSeek, LLaMA","RQ5, RQ6","Security outcomes, Common Weakness Enumeration (CWE) vulnerabilities, Vulnerability-free code, Deeper or more complex vulnerabilities","• RCI prompting significantly improves security outcomes across all LLM models.
• LLaMA generated over 15,800 lines of vulnerability-free code using RCI.
• Static analysis tools (Bandit, CodeQL) produced divergent results, with CodeQL exposing deeper vulnerabilities.","Significantly improves security outcomes, LLaMA produced over 15,800 lines of vulnerability-free code, Notable improvements under guided prompting, Offers practical insights into secure code generation""",Unclear,115.2
E019,Arto Hellas Juho Leinonen Sami Sarsa Charles Koutcheme Juha Sorva (2023) [E019],Exploring the Responses of Large Language Models to Beginner Programmers' Help Requests,"Arto Hellas
Juho Leinonen
Sami Sarsa
Charles Koutcheme
Juha Sorva",2023.0,Posted Content,arXiv.org,ACM,10.1145/3568813.3600139,https://scispace.com/paper/exploring-the-responses-of-large-language-models-to-beginner-11gj34ht,Observational Study,"OpenAI Codex, GPT-3.5","RQ2, RQ5, RQ6","Identifying issues, Finding all issues, False positives, Sensibility of advice, Performance on program logic issues, Performance on output formatting issues, Performance on non-English prompts","• GPT-3.5 outperforms Codex, finding at least one issue in 90% of cases.
• LLMs do not excel at finding all issues (GPT-3.5 at 57%) and have common false positives (40% for GPT-3.5).
• LLMs perform better on program logic than output formatting, highlighting unreliability and similar mistakes to students.","Utility of LLMs in programming education, LLMs frequently find at least one actual issue in each student program, Advice provided is often sensible, LLMs perform better on issues involving program logic",Unclear,114.9
E020,Wendy Mendes Santos Souza Cleidson R. B. de Souza (2024) [E020],"""You're on a bicycle with a little motor"": Benefits and Challenges of Using AI Code Assistants","Wendy Mendes
Santos Souza
Cleidson R. B. de Souza",2024.0,Journal Article,,ACM,10.1145/3641822.3641882,https://scispace.com/paper/you-re-on-a-bicycle-with-a-little-motor-benefits-and-3exuhofu3r,Observational Study,"Tabnine, GitHub CoPilot, ChatGPT","RQ4, RQ5",Not specified,"• Describes benefits and challenges of AI code assistants from developers' daily experiences.
• Presents strategies to address challenges encountered with AI code assistants.
• Based on 14 interviews with software developers.",Not available in metadata.,Unclear,114.0
E021,Vincenzo Corso Leonardo Mariani Daniela Micucci Oliviero Riganelli (2024) [E021],Assessing AI-Based Code Assistants in Method Generation Tasks,"Vincenzo Corso
Leonardo Mariani
Daniela Micucci
Oliviero Riganelli",2024.0,Journal Article,,ACM,10.1145/3639478.3643122,https://scispace.com/paper/assessing-ai-based-code-assistants-in-method-generation-2ltlyo2whs,Observational Study,"GitHub Copilot, Tabnine, ChatGPT, Google Bard","RQ2, RQ4, RQ5","Accurate code, Correct code, Efficient code","• Code assistants are useful and have complementary capabilities.
• They rarely generate ready-to-use correct code.","Enhanced productivity, improved code quality, useful, complementary capabilities",Unclear,113.9
E022,Jianian Gong Nachuan Duan Ziheng Tao Zhaohui Gong Yuan Yuan Minlie Huang (2024) [E022],"How Well Do Large Language Models Serve as End-to-End Secure Code
  Producers?","Jianian Gong
Nachuan Duan
Ziheng Tao
Zhaohui Gong
Yuan Yuan
Minlie Huang",2024.0,Journal Article,,arXiv,10.48550/arxiv.2408.10495,https://scispace.com/paper/how-well-do-large-language-models-serve-as-end-to-end-secure-7e75cs3d1yjz,Controlled Experiment,"GPT-3.5, GPT-4, Code Llama, CodeGeeX2","RQ5, RQ6","Vulnerabilities, Success rates of repair","• LLMs generate over 75% vulnerable code due to lack of security awareness.
• LLMs struggle to precisely identify vulnerabilities in their own generated code.
• An iterative repair tool significantly improves repair success rates to 65.9%~85.5%.",Not reported,Preprint,113.9
E023,nan (2025) [E023],Security Vulnerabilities in AI-Generated Code: A Large-Scale Analysis of Public GitHub Repositories,,2025.0,Journal Article,,arXiv,10.48550/arxiv.2510.26103,https://scispace.com/paper/security-vulnerabilities-in-ai-generated-code-a-large-scale-pernlnl0ilv9,Observational Study,"ChatGPT, GitHub Copilot, Amazon CodeWhisperer, Tabnine","RQ5, RQ6","Security vulnerabilities, CWE instances, vulnerability types, vulnerability rates, security density (LOC per CWE)","*   4,241 security vulnerabilities found in 7,703 AI-generated code files.
*   Python code shows higher vulnerability rates (16.18%-18.50%) than JavaScript and TypeScript.
*   AI tools are widely used for documentation generation (39% of files).",Not reported,Preprint,113.8
E024,Burak Yetistiren Eray Tüzün (2023) [E024],"Evaluating the Code Quality of AI-Assisted Code Generation Tools: An Empirical Study on GitHub Copilot, Amazon CodeWhisperer, and ChatGPT","Burak Yetistiren
Eray Tüzün",2023.0,Journal Article,arXiv.org,arXiv,10.48550/arXiv.2304.10778,https://scispace.com/paper/evaluating-the-code-quality-of-ai-assisted-code-generation-21vbb8wd,Observational Study,"GitHub Copilot, Amazon CodeWhisperer, ChatGPT","RQ2, RQ3, RQ6","Code Validity, Code Correctness, Code Security, Code Reliability, Code Maintainability, average technical debt (considering code smells)","*   ChatGPT generated correct code 65.2% of the time, outperforming GitHub Copilot (46.3%) and Amazon CodeWhisperer (31.1%).
*   Newer versions of GitHub Copilot and Amazon CodeWhisperer showed improvement rates of 18% and 7% respectively.
*   Amazon CodeWhisperer had the lowest average technical debt (5.6 minutes), followed by ChatGPT (8.9 minutes) and GitHub Copilot (9.1 minutes).",Ability to generate code from natural language prompts or partial code inputs,Preprint,113.1
E025,Tianyi Chen (2024) [E025],The Impact of AI-Pair Programmers on Code Quality and Developer Satisfaction: Evidence from TiMi studio,Tianyi Chen,2024.0,Journal Article,,ACM,10.1145/3665348.3665383,https://scispace.com/paper/the-impact-of-ai-pair-programmers-on-code-quality-and-4bl22xfu0j,Case Study,Not specified,"RQ1, RQ2, RQ4, RQ5, RQ6","Code quality, Developer satisfaction","• AI-pair programming positively impacts code quality and developer satisfaction.
• Benefits include time-saving, error-avoiding, skill-learning, and quality-improving.
• Challenges include reliability, explainability, trust, communication, autonomy, and motivation issues.","time-saving, error-avoiding, skill-learning, possibility-exploring, feedback-receiving, quality-improving",Unclear,112.5
E026,Mingjing Li Bhaskar Krishnamachari (2024) [E026],"Evaluating ChatGPT-3.5 Efficiency in Solving Coding Problems of
  Different Complexity Levels: An Empirical Analysis","Mingjing Li
Bhaskar Krishnamachari",2024.0,Journal Article,,arXiv,10.48550/arxiv.2411.07529,https://scispace.com/paper/evaluating-chatgpt-3-5-efficiency-in-solving-coding-problems-5iyoche2z1p7,Controlled Experiment,"ChatGPT, GPT-3.5-turbo, GPT-4",RQ6,"Problem solving success rate, Code correctness, Performance across difficulty levels, Performance with prompt engineering, Performance across programming languages","• ChatGPT-3.5 solves fewer problems as difficulty rises: 92% easy, 79% medium, 51% hard.
• Prompt engineering significantly improves performance, with greater gains on easier problems.
• ChatGPT performs better in popular languages (Python, Java, C++) than less common ones.","Revolutionize software development, automatically generating code from program specifications",Preprint,112.1
E027,He Hao Miller (2025) [E027],Speed at the Cost of Quality? The Impact of LLM Agent Assistance on Software Development,"He Hao
Miller, Courtney
Agarwal Shyam
Kästner, Christian
Vasilescu, Bogdan",2025.0,Journal Article,,arXiv,10.48550/arxiv.2511.04427,https://scispace.com/paper/speed-at-the-cost-of-quality-the-impact-of-llm-agent-fmrvxqp7x3jq,Observational Study,Cursor,"RQ1, RQ2, RQ6","development velocity, static analysis warnings, code complexity","• Cursor adoption causes a significant, transient increase in development velocity.
• It leads to a significant, persistent increase in static analysis warnings and code complexity.
• Increased warnings and complexity cause long-term velocity slowdown.","Significant, large, but transient increase in project-level development velocity",Preprint,112.0
E029,Jinrun Liu Xinyu Tang Linlin Li Panpan Chen Yepang Liu (2023) [E029],ChatGPT vs. Stack Overflow: An Exploratory Comparison of Programming Assistance Tools,"Jinrun Liu
Xinyu Tang
Linlin Li
Panpan Chen
Yepang Liu",2023.0,Proceedings Article,,IEEE,10.1109/qrs-c60940.2023.00105,https://scispace.com/paper/chatgpt-vs-stack-overflow-an-exploratory-comparison-of-3jywlnzo3m,Controlled Experiment,ChatGPT,"RQ1, RQ2, RQ6","Quality of code produced, Time taken to complete tasks, Task completion speed","• ChatGPT outperforms Stack Overflow in code quality for algorithmic and library tasks.
• Stack Overflow is better for debugging tasks regarding code quality.
• ChatGPT is faster for algorithmic challenges; similar speed for other tasks.","Efficient programming assistance, Personalized programming assistance, Outperforms Stack Overflow in algorithmic and library-related tasks (code quality), Faster than Stack Overflow in algorithmic challenges (task completion speed)",Unclear,111.9
E030,Saki Imai (2022) [E030],Is GitHub Copilot a Substitute for Human Pair-programming? An Empirical Study,Saki Imai,2022.0,Proceedings Article,,ACM,10.1145/3510454.3522684,https://scispace.com/paper/is-github-copilot-a-substitute-for-human-pair-programming-an-iyfo332g,Controlled Experiment,GitHub Copilot,"RQ1, RQ2, RQ6","Lines of code added, Lines of code removed","• Copilot increases productivity, measured by lines of code added.
• Code quality with Copilot is inferior due to more deleted lines.",Increased productivity,Unclear,111.9
E031,Naser Al Madi (2022) [E031],How Readable is Model-generated Code? Examining Readability and Visual Inspection of GitHub Copilot,Naser Al Madi,2022.0,Proceedings Article,,ACM,10.1145/3551349.3560438,https://scispace.com/paper/how-readable-is-model-generated-code-examining-readability-1gzauiz3,Controlled Experiment,GitHub Copilot,"RQ2, RQ5, RQ6","Readability, Visual inspection, Complexity","• Model-generated code is comparable in complexity and readability to human-written code.
• Programmers direct significantly less visual attention to model-generated code.
• Programmers should beware of complacency and automation bias with model-generated code.",Comparable complexity and readability to human-written code,Unclear,111.9
E028,James Finnie-Ansley Paul C. Denny Andrew Luxton-Reilly Eddie Antonio Santos James Prather Brett A. Becker (2023) [E028],My AI Wants to Know if This Will Be on the Exam: Testing OpenAI’s Codex on CS2 Programming Exercises,"James Finnie-Ansley
Paul C. Denny
Andrew Luxton-Reilly
Eddie Antonio Santos
James Prather
Brett A. Becker",2023.0,Proceedings Article,Australasian Computing Education Conference,ACM,10.1145/3576123.3576134,https://scispace.com/paper/my-ai-wants-to-know-if-this-will-be-on-the-exam-testing-3j31k4qh,Observational Study,"OpenAI Codex, GitHub Copilot",Not available in metadata.,"Performance on CS2 exam questions, comparison to student scores","• OpenAI Codex outscores most students on advanced CS2 exam questions.
• Codex performs considerably better than most students on typical CS1 exam questions.
• The paper details Codex's performance on data structures and algorithms exam questions.",Not available in metadata.,Unclear,111.9
E032,Abbas Sabra Olivier Schmitt Joseph Tyler (2025) [E032],Assessing the Quality and Security of AI-Generated Code: A Quantitative Analysis,"Abbas Sabra
Olivier Schmitt
Joseph Tyler",2025.0,Journal Article,arXiv.org,arXiv,10.48550/arxiv.2508.14727,https://scispace.com/paper/assessing-the-quality-and-security-of-ai-generated-code-a-bp5yqw3vovvm,Observational Study,"Claude Sonnet 4, Claude 3.7 Sonnet, GPT-4o, Llama 3.2 90B, OpenCoder 8B","RQ2, RQ5, RQ6","Code quality, Security, Bugs, Security vulnerabilities, Code smells, Hard-coded passwords, Path traversal vulnerabilities, Number of SonarQube issues, Functional performance (Pass@1 rate of unit tests)","• LLMs generate functional code but introduce defects, security vulnerabilities, and code smells.
• Critically severe issues like hard-coded passwords were observed across multiple models.
• No correlation found between functional performance and overall code quality/security.
• LLM-generated code requires verification to be production-ready.",LLMs can generate functional code,Preprint,111.8
E033,Mehmet Safa Gökalp Ayça Kolukısa (2025) [E033],ChatGPT Based Best Practices for Pair Programming,"Mehmet Safa Gökalp
Ayça Kolukısa",2025.0,Journal Article,,IEEE,10.1109/ubmk67458.2025.11206910,https://scispace.com/paper/chatgpt-based-best-practices-for-pair-programming-nnywnube7h9d,Case Study,ChatGPT,"RQ1, RQ2, RQ5, RQ6","Solution correctness, efficiency, error resolution, completion time","• ChatGPT can generate accurate code and reduce completion time for moderately complex tasks.
• Its effectiveness varies based on error nature and problem complexity.
• Limitations in handling complex logic remain underexplored.","Generate accurate code, Reduce completion time for moderately complex tasks",Unclear,111.8
E034,Jia Li Yuqi Zhu Yongmin Li Ge Li Zhi Jin (2024) [E034],Showing LLM-Generated Code Selectively Based on Confidence of LLMs,"Jia Li
Yuqi Zhu
Yongmin Li
Ge Li
Zhi Jin",2024.0,Journal Article,,arXiv,10.48550/arxiv.2410.03234,https://scispace.com/paper/showing-llm-generated-code-selectively-based-on-confidence-q0mhio57g2kb,Controlled Experiment,"DeepSeek-Coder, Code Llama","RQ1, RQ2, RQ4, RQ5, RQ6","AUROC, AUCPR, Number of erroneous programs shown to developers, Number of correct programs shown to developers, Time overhead","• HonestCoder accurately estimates LLM confidence, outperforming baselines by 27.79% AUROC and 63.74% AUCPR.
• It significantly reduces erroneous programs shown to developers, improving code quality.
• HonestCoder adds only slight time overhead (0.4 seconds per requirement), maintaining productivity.","Effectively estimates LLMs' confidence, accurately determines program correctness, decreases erroneous programs shown to developers, shows more correct programs, adds slight time overhead (approximately 0.4 seconds per requirement)",Preprint,111.6
