"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"Impact of Automated Software Development Using Large Language Models: Capabilities, Limitations, and Future Evolution","https://scispace.com/paper/impact-of-automated-software-development-using-large-9g43frslhhx0","2025","Journal Article","RA journal of applied research","MD Raziul Hasan Nayon
Shafique Ahmed
Mohammad Nazim Zaman
MST Ashima Alom Shova
Fozia Hanif Khan","10.47191/rajar/v11i9.07","","The rapid integration of Large Language Models (LLMs) in the field of software engineering is very much changing the methods of coding, which, at the same time, are also being maintained and optimized. Through this article the journey of the coming of capabilities and restrictions as well as the direction of the future of software development with LLM is monitored. The authors of this article have given a detailed survey of LLM utilization in various stages of the life cycle of development organization, a number of them being code generation, bug detection, automated testing, documentation, and translation of natural language into code, productivity, quality, and accessibility being among the improvements indicated. It is demonstrated through comparative analyses that LLMs’ performance is more favorable than that of traditional and rule-based approaches, while the positions of developers, project managers, and executives as stakeholders reveal that they are both excited about the efficiency gains and, on the other hand, concerned about issues of technical reliability, data privacy, and over-reliance on automation. The main problems that LLMs are facing today—like hallucinations, being out-of-date, not having a very large context, and depending too much on prompt engineering—are plainly revealed along with the proposed solutions. Next, we consider progress in the field of multimodal and context-aware systems, autonomous software agents, continuous learning, and human-AI co-creation platforms. LLM-assisted development is likely to change the face of challenges if it is going to be fully materialized, thus bringing about the birth of a new era of collaborative, efficient, and innovative software engineering. ","This study examines the impact of Large Language Models (LLMs) on software development, highlighting their capabilities, limitations, and future directions. LLMs outperform traditional approaches, but raise concerns about reliability, data privacy, and over-reliance on automation."
"Estudio comparativo de herramientas de generación de código por IA: evaluación de calidad y análisis de desempeño","https://scispace.com/paper/estudio-comparativo-de-herramientas-de-generacion-de-codigo-3mo6d6ne0odj","2024","Repository","","","10.5281/zenodo.12809576","","Las herramientas de generación de código con inteligencia artificial (IA) son cruciales en el desarrollo de software, procesando lenguaje natural para mejorar la eficiencia en programación. La presente investigación se realizó con el propósito de determinar la precisión y calidad del código generado por herramientas de (IA). El estudio comenzó con un mapeo sistemático de literatura para identificar las herramientas de IA aplicables. Se consultaron bases de datos como ACM, Engineering Source e IEEE Xplore, de donde se extrajeron inicialmente 621 artículos. Tras aplicar criterios de inclusión: artículos en inglés de áreas de la computación publicados entre 2020 y 2024, se seleccionaron 113 artículos. Un proceso de tamizaje redujo esta cifra a 44 artículos, que permitieron identificar 11 herramientas de IA para la generación de código. El método utilizado fue un estudio comparativo, se diseñaron diez ejercicios de programación con diversos niveles de dificultad. Las herramientas identificadas generaron código para estos ejercicios en diferentes lenguajes de programación. La calidad del código generado fue evaluada mediante el analizador estático SonarQube, considerando aspectos como seguridad, fiabilidad y mantenibilidad. Los resultados mostraron variaciones significativas en la calidad del código entre las herramientas de IA. Bing como herramienta de generación de código mostró un rendimiento ligeramente superior en comparación con otras, aunque ninguna destacó como una IA notablemente superior. En conclusión, la investigación evidenció que, aunque las herramientas de IA para la generación de código son prometedoras, aún requieren de un piloto para alcanzar su máximo potencial, evidenciando que aún queda mucho por avanzar. ","This comparative study evaluates the quality and performance of 11 AI-powered code generation tools, finding significant variations in code quality, with Bing showing slightly superior performance, but none demonstrating notable superiority, highlighting the need for further development."
"Guiding ChatGPT for Better Code Generation: An Empirical Study","https://scispace.com/paper/guiding-chatgpt-for-better-code-generation-an-empirical-3wthbnu0ge","2024","Journal Article","","Chao Liu
Xuanlin Bao
Hongyu Zhang
Neng Zhang
Haibo Hu
Xiaohong Zhang
Kaiping Zhang","10.1109/saner60148.2024.00018","","Automated code generation is a powerful technique for software development, which can significantly reduce developers' effort and time for writing code. Recently, OpenAI's large language model ChatGPT has emerged as a powerful tool for generating human-like responses to a wide range of textual inputs (i.e., prompts), including those related to code generation. However, the effectiveness of ChatGPT in code generation is still not well understood. The code generation performance could also be heavily influenced by the choice of prompts, which should be further explored. In this paper, we report an empirical study on ChatGPT's capabilities for two types of code generation tasks, namely text-to-code and code-to-code generation. We investigate different types of prompts by leveraging the chain-of-thought strategy with multi-step optimizations. Our empirical results show that by carefully designing prompts to guide ChatGPT, the code generation performance can be improved substantially. We also analyze the factors that influence the prompt design and provide insights that could guide future research.","Empirical results show that by carefully designing prompts to guide ChatGPT, the code generation performance can be improved substantially, and the factors that influence the prompt design are analyzed to provide insights that could guide future research."
"Quality Assessment of ChatGPT Generated Code and their Use by Developers","https://scispace.com/paper/quality-assessment-of-chatgpt-generated-code-and-their-use-2kiq5lj6dw","2024","Book","","Mohammed Latif Siddiq
Lindsay Roney
Jiahao Zhang
Joanna C. S. Santos","10.1145/3643991.3645071","","The release of large language models (LLMs) like ChatGPT has revolutionized software development. Prior works explored ChatGPT’s generated response quality, the effectiveness of different prompting techniques, its performance in programming contests, etc. However, there is limited information regarding the practical usage of ChatGPT by software developers. This data mining challenge focuses on DevGPT, a curated dataset of developer-ChatGPT conversations encompassing prompts with ChatGPT’s responses, including code snippets. Our paper leverages this dataset to investigate (RQ1) whether ChatGPT generates Python & Java code with quality issues; (RQ2) whether ChatGPT-generated code is merged into a repository, and, if it does, to what extent developers change them; and (RQ3) what are the main use cases for ChatGPT besides code generation. We found that ChatGPT-generated code suffers from using undefined/unused variables and improper documentation. They also have security issues related to improper resources and exception management. Our results show that ChatGPT-generated codes are hardly merged, and they are significantly modified before merging. Based on an analysis of developers’ discussions and the developer-ChatGPT chats, we found that developers use ChatGPT for every stage of software development and leverage it to learn about new frameworks and development kits.CCS CONCEPTS• Software and its engineering → Software performance; Software usability; Empirical software validation.","This study assesses the quality of ChatGPT-generated code and its practical usage by developers, finding issues with variables, documentation, and security, and that generated code is rarely merged without significant modification, but is used for learning and various development stages."
"Generative AI and Code Synthesis Frameworks for Automated Software Engineering and Debugging","https://scispace.com/paper/generative-ai-and-code-synthesis-frameworks-for-automated-4gnmkq2mfjgn","2025","Journal Article","","Jayashree Tamkhade
M. Ananthi
Arati V. Deshpande","10.71443/9789349552609-06","","The rapid advancement of Artificial Intelligence (AI) has brought transformative changes to software engineering, particularly in the areas of debugging and code synthesis. This chapter explores the integration of AI-driven techniques within the software development lifecycle, with a focus on automated bug fixing, debugging complex systems, and continuous integration (CI/CD). As software systems grow more intricate and performance-sensitive, the traditional methods of bug detection and resolution struggle to keep pace. AI-based tools, through machine learning and deep learning models, offer significant improvements by automating the identification of defects, optimizing code generation, and enhancing real-time debugging processes. Key applications, such as anomaly detection, root cause analysis, and predictive debugging, are discussed in the context of large-scale systems, real-time environments, and high-performance applications. The chapter also highlights the challenges in achieving accuracy, reducing false positives, and ensuring seamless integration of AI tools into existing development workflows. By leveraging AI in continuous deployment, this work underscores the potential for more efficient and reliable software production, allowing for faster bug identification, reduced downtime, and improved software quality. The evolving role of AI in debugging is examined through case studies, exploring its real-world impact on enhancing the agility and robustness of modern software systems. As AI continues to evolve, it is poised to redefine software engineering paradigms, making automated debugging and code synthesis indispensable for the future of software development. ","This chapter explores AI-driven techniques for automated software engineering, debugging, and code synthesis, leveraging machine learning and deep learning to optimize bug detection, code generation, and real-time debugging in large-scale systems and high-performance applications."
"AI-Driven Software Development Lifecycle Optimization","https://scispace.com/paper/ai-driven-software-development-lifecycle-optimization-oipoaythhu","2024","Book Chapter","Advances in systems analysis, software engineering, and high performance computing book series","Pawan Kumar Goel
Km Komal
Nitish Vashishth","10.4018/979-8-3693-3502-4.ch005","","This research explores the integration of artificial intelligence (AI) into the software development lifecycle (SDLC) to optimize processes and address evolving industry demands. Against a backdrop of increased complexity in software projects, the study investigates historical context, emphasizing the imperative for AI infusion in SDLC. The primary objective is to illuminate how AI strategically enhances various SDLC stages, elucidating specific challenges it addresses. Employing a multifaceted approach, including literature reviews, case studies, and empirical analyses, the research showcases AI's role in automated code generation, intelligent code reviews, predictive maintenance, AI-powered testing, and dynamic resource allocation. Results demonstrate increased development speed, improved code quality, proactive issue identification, and efficient resource utilization. The chapter synthesizes key insights, underscoring AI's transformative impact on software development efficiency and product quality. ","AI-driven software development lifecycle optimization explores the integration of AI into various stages of the SDLC to enhance efficiency, improve code quality, and address evolving industry demands."
"Assessing the Effectiveness and Security Implications of AI Code Generators","https://scispace.com/paper/assessing-the-effectiveness-and-security-implications-of-ai-5dy3q6cah0","2024","Journal Article","Journal of the Colloquium for Information System Security Education","Maryam Taeb
Hongmei Chi
Shonda Bernadin","10.53735/cisse.v11i1.180","","Students, especially those outside the field of cybersecurity, are increasingly turning to Large Language Model (LLM)-based generative AI tools for coding assistance. These AI code generators provide valuable support to developers by generating code based on provided input and instructions. However, the quality and accuracy of the generated code can vary, depending on factors such as task complexity, the clarity of instructions, and the model’s familiarity with the programming language. Additionally, these generated codes may inadvertently utilize vulnerable built-in functions, potentially leading to source code vulnerabilities and exploits. This research undertakes an in-depth analysis and comparison of code generation, code completion, and security suggestions offered by prominent AI models, including OpenAI CodeX, CodeBert, and ChatGPT. The research aims to evaluate the effectiveness and security aspects of these tools in terms of their code generation, code completion capabilities, and their ability to enhance security. This analysis serves as a valuable resource for developers, enabling them to proactively avoid introducing security vulnerabilities in their projects. By doing so, developers can significantly reduce the need for extensive revisions and resource allocation, whether in the short or long term. ","The effectiveness and security implications of AI code generators are assessed, focusing on their code generation, code completion, and security suggestions capabilities. The research aims to evaluate the tools' effectiveness and security aspects and provide guidance for developers to avoid introducing vulnerabilities."
"AI-based Code Generation: Achievements and Open Problems","https://scispace.com/paper/ai-based-code-generation-achievements-and-open-problems-2bv9spc86b","2024","Journal Article","","Gabriele Bavota","10.1145/3661167.3661267","","Large Language Models (LLMs) have gained significant attention in the software engineering community. Nowadays developers have the possibility to exploit these models through industrial-grade tools providing a handy interface toward LLMs, such as GitHub Copilot. In this talk, I will discuss recent successful applications of LLMs for code generation, showing how they are changing the way in which developers approach coding. Then, I will present open problems in the area of AI-based code generators; this part will cover both issues arising from their usage as well as challenges that the research community working in this area are facing (e.g., related to the empirical evaluation of these tools).","AI-based code generation has gained significant traction with LLMs and industrial-grade tools like Copilot. Recent applications showcase their transformative impact on coding practices. However, open problems remain in their usage and research, including empirical evaluation challenges."
"Refining ChatGPT-Generated Code: Characterizing and Mitigating Code Quality Issues","https://scispace.com/paper/refining-chatgpt-generated-code-characterizing-and-1xxdisr68e","2024","Journal Article","ACM Transactions on Software Engineering and Methodology","Yue Liu
Thanh Le-Cong
Ratnadira Widyasari
Chakkrit Tantithamthavorn
Li Li
Xuan-Bach D. Le
David Lo","10.1145/3643674","","Since its introduction in November 2022, ChatGPT has rapidly gained popularity due to its remarkable ability in language understanding and human-like responses. ChatGPT, based on GPT-3.5 architecture, has shown great promise for revolutionizing various research fields, including code generation. However, the reliability and quality of code generated by ChatGPT remain unexplored, raising concerns about potential risks associated with the widespread use of ChatGPT-driven code generation. In this article, we systematically study the quality of 4,066 ChatGPT-generated programs of code implemented in two popular programming languages, i.e., Java and Python, for 2,033 programming tasks. The goal of this work is threefold. First, we analyze the correctness of ChatGPT on code generation tasks and uncover the factors that influence its effectiveness, including task difficulty, programming language, time that tasks are introduced, and program size. Second, we identify and characterize potential issues with the quality of ChatGPT-generated code. Last, we provide insights into how these issues can be mitigated. Experiments highlight that out of 4,066 programs generated by ChatGPT, 2,756 programs are deemed correct, 1,082 programs provide wrong outputs, and 177 programs contain compilation or runtime errors. Additionally, we further analyze other characteristics of the generated code through static analysis tools, such as code style and maintainability, and find that 1,930 ChatGPT-generated code snippets suffer from maintainability issues. Subsequently, we investigate ChatGPT’s self-repairing ability and its interaction with static analysis tools to fix the errors uncovered in the previous step. Experiments suggest that ChatGPT can partially address these challenges, improving code quality by more than 20%, but there are still limitations and opportunities for improvement. Overall, our study provides valuable insights into the current limitations of ChatGPT and offers a roadmap for future research and development efforts to enhance the code generation capabilities of artificial intelligence models such as ChatGPT. ","The code generated by ChatGPT exhibits quality issues such as incorrect outputs, compilation errors, and maintainability problems. While ChatGPT can partially address these challenges, there are still limitations and opportunities for improvement."
"Assessing the Promise and Pitfalls of ChatGPT for Automated CS1-driven Code Generation","https://scispace.com/paper/assessing-the-promise-and-pitfalls-of-chatgpt-for-automated-7b7jar3e3xzn","2024","Repository","","Muhammad Fawad Akbar Khan
Erik Falor
Hamid Karimi","10.5281/zenodo.12729777","","This paper undertakes a thorough evaluation of ChatGPT's code generation capabilities, contrasting them with those of human programmers from both educational and software engineering standpoints. The emphasis is placed on elucidating its importance in these intertwined domains. To facilitate a robust analysis, we curated a novel dataset comprising 131 code-generation prompts spanning five categories. The study encompasses 262 code samples generated by ChatGPT and humans, with a meticulous manual assessment methodology prioritizing correctness, comprehensibility, and security using 14 established code quality metrics. Noteworthy strengths include ChatGPT's proficiency in crafting concise, efficient code, particularly excelling in data analysis tasks (93.1 \% accuracy). However, limitations are observed in handling visual-graphical challenges. Comparative analysis with human-generated code highlights ChatGPT's inclination towards modular design and superior error handling. Machine learning models effectively distinguish ChatGPT from human code with up to 88\\% accuracy, indicating detectable coding style disparities. By offering profound insights into ChatGPT's code generation capabilities and limitations through quantitative metrics and qualitative analysis, this study contributes significantly to the advancement of AI-based programming assistants. The curated dataset and methodology establish a robust foundation for future research in this evolving domain, reinforcing its importance in shaping the future landscape of computer science education and software engineering. Code and data are available here: https://github.com/DSAatUSU/ChatGPT-promises-and-pitfalls ",""
"Generative ai-driven web development: a comprehensive systematic review and future research directions","https://scispace.com/paper/generative-ai-driven-web-development-a-comprehensive-ee73tmlvyxo7","2025","Journal Article","Vinh University Journal of Science","Nguyen Thi Kim Phuong
Nguyễn Thị Dung
Đoàn Đình Phương","10.56824/vujs.2025a083a","","The rapid advancement of generative artificial intelligence is reshaping the field of web development, opening new possibilities for automated code generation and intelligent interface design. This study employs the PRISMA methodology to conduct a systematic review, analyzing AI-assisted web development research's current state and future directions. Based on an analysis of 46 peer-reviewed studies published between 2020 and 2025, the findings reveal a remarkable growth trend, with an average annual increase of approximately 80%. The research primarily focuses on five core domains: (i) automated code generation, (ii) AI-assisted UI/UX design, (iii) intelligent web optimization, (iv) natural language interfaces, and (v) AI-supported testing. Key challenges identified include the lack of standardized evaluation frameworks, concerns over security and privacy, and limitations in scalability. Accordingly, the study proposes a structured research agenda emphasizing three strategic priorities: developing standardized evaluation metrics for AI-generated interfaces; establishing security protocols integrated into CI/CD pipelines; and advancing distributed inference architectures for efficient deployment on edge computing platforms. Keywords: Artificial intelligence; web development; code generation; large language models; generative AI ","This systematic review of 46 AI-assisted web development studies (2020-2025) reveals a 80% annual growth trend, highlighting five core domains and key challenges, including evaluation framework standardization, security, and scalability, with proposed research priorities."
